MarketingViewText,Sum_CHB_and_Opportunity_Total_Denominator,,,
Recon Instrument,1363.35,,,Minimum Value
Rapid Test Kits,69646792.12,,Sum_CHB_and_Opportunity_Total_Denominator,158.64
Dialysis,946.329472,,,
Needles & Syringes,37278014.15,,,
Lab Labels and Tapes,334655.7854,,,
Admission & Amenities - Pack,2409965.073,,,
Blood Bank Reagents,12132367.52,,,
Tissue Baths,56532.32467,,,
Emesis Bags,1124033.863,,,
Operating Room - Module,370397.7194,,,
Clinical Exam Accessories,831100.1375,,,
Chemistry Controls Standards,2246910.15,,,
Test Tube Closures,1600973.787,,,
Specialty Kits,93670.04731,,,
Caps & Shoe Covers,4065789.482,,,
Exam Room Paper Products,11157.10471,,,
Presource - PRK,571688.8068,,,
Medical Waste Management,28576.49,,,
DME Bath Safety,706014.8643,,,
Microbiology Equipment,68311.3,,,
Grossing Stations,8789.64,,,
Surgical Preparation,546561.049,,,
Stethoscopes,1001406.33,,,
Sustainable Technologies,7348891.36,,,
Specimen Containers,5727477.952,,,
Chemotherapy Essentials,1557821.113,,,
Lab Liquid Handling,2199210.522,,,
Patient Belonging Bags,1334207.749,,,
Manual ID/Susceptibility Test,106704.2217,,,
Surgical Bras,522297.0372,,,
Positioners,7546959.466,,,
General Anesthesia - Kit,5994301.554,,,
Skin Management,2892805.874,,,
ECG Electrodes,59692923.62,,,
Surgical Clippers,301896.942,,,
Blood Collection Tubes,19337648.37,,,
All Other Medical Consumables,5489800.424,,,
Respiratory Care,190243.4105,,,
Cytology Supplies,3035144.326,,,
Clinical Chemistry Accessories,3269623.913,,,
Slippers,1797742.729,,,
Sterilization Pouches Covers,1996196.723,,,
Standard Kits,10127292.78,,,
Colorectal Supplies,66751.09688,,,
Vascular Access - Kit,535763.8923,,,
Womens Health,6284190.818,,,
Cath Lab - Tray,5877136.567,,,
Nutritional Delivery-Syringes,7744262.289,,,
Protective Gloves,78457.31,,,
Organ and Tissue - Module,97220.47168,,,
Minor Procedure Trays,3143413.73,,,
Incubators,155270.8167,,,
Urology,15279244.25,,,
General Lab Equipment,191611.8679,,,
Thermometers & Probe Covers,3634602.571,,,
Wound Drains,5976305.36,,,
Cold Storage,2343380.722,,,
Patient Plastics,22634.76833,,,
Specialty Electrodes,102352.8088,,,
Sterilization Wrap,2755177.229,,,
Respiratory,39606.95037,,,
Dental Kits & Equipment,17049.44244,,,
Labor and Delivery  - Tray,408599.1169,,,
Cardio Guiding Catheters,66834.772,,,
Surgical Instruments,540391.792,,,
Lab Apparel,13974941.3,,,
Anti-Embolism Stockings,6089622.44,,,
Anesthesia Oral Airways,309041.7894,,,
Hematology Reagents,285973.08,,,
Glucose Tolerance Beverages,642655.4831,,,
Microbio Collection Transport,1612330.935,,,
Advanced Wound Care,6951155.753,,,
Paper Products,3180162.646,,,
Cardio Diagnose Other,5781.827836,,,
Non-Sterile Gowns,16825899.85,,,
Embedding Materials,849058.3077,,,
Office Supplies & Packaging,5037.09,,,
IVA Security Seals,2372767.615,,,
Surgical Drapes,14518374.52,,,
Suture,640181.6346,,,
Localized Temperature Therapy,14832925.72,,,
,5672353.839,,,
General Nursing - Kit,2306918.924,,,
Endoscopy Supplies,38322.2921,,,
Baby Care,5102576.171,,,
Skin Care,1412505.232,,,
All Other MDD,843178.1292,,,
Cardiothoracic Care,1719412.811,,,
Lab Furniture,44761.79537,,,
All Other Procedural Kits,22239792.75,,,
Pneumatic Compression,103739542.3,,,
Medicated Wipes,9491325.718,,,
Nutritional Delivery-Delivery,59954404.88,,,
Test Tubes,2379200.085,,,
Fluid Mgmt Tubing & Handles,35552367.3,,,
Presource - MPT,38333421.61,,,
Exam Glove Dispensers,1481.265498,,,
Anesthesia Regional,9533.523162,,,
Slides,8962491.792,,,
General Lab Supplies,772210.183,,,
Dental,7862423.483,,,
Hematology Stains,280753.9173,,,
Microbiology Supplies,872181.751,,,
Urinalysis Controls,536219.0614,,,
Blood Bank Equipment,24740.90557,,,
Tourniquets,5054603.832,,,
Antiseptics,1198950.876,,,
Chemistry Reagents Solutions,4469524.87,,,
Labor and Delivery - Pack,605314.1312,,,
Fluid Mgmt Canisters,16569083.98,,,
All Other Laboratory,2905564.193,,,
Eye/Face Shields & Accessories,1530947.715,,,
Chart Paper,5864.96,,,
Presource - CPT,70329006.71,,,
Grooming,165079.5019,,,
Urinalysis Analyzers,3907.16,,,
Grossing Accessories,113217.8045,,,
Anatomic Pathology Storage,1027623.059,,,
Lab Timers,223695.225,,,
Anesthesia Nasal Airways,155509.479,,,
Surgical Gowns,18195289.76,,,
Bandages,4963198.543,,,
Respiratory Open Suction,1967592.911,,,
Cardiovascular,158.64,,,
Anesthesia Stylets,733698.2705,,,
Tissue Processing Accessories,884587.6014,,,
Presource - NSK,50327131.45,,,
Cath Lab - Pack,437232.4914,,,
Lab Lancets and Needles,7064032.695,,,
Cast Systems,1104347.269,,,
Organ and Tissue - Pack,97220.47168,,,
Medication Prep,11936680.19,,,
DME Mobility Aids,2524290.63,,,
Lab Weighing,43846.34765,,,
Centrifuge,1424738.377,,,
IV Sets & Accessories,621678.4883,,,
Medical and Surgical Tape,3157810.617,,,
Procedure / Earloop Masks,9269939.795,,,
ECG Cables & Leadwires,103156217.7,,,
Transparent Dressings,1283755.18,,,
Anesthesia Masks,96709.62155,,,
Endomechanical,8589.63,,,
Specimen Bags,4097293.52,,,
Phlebotomy Supplies,5942658.554,,,
Coverslips Cover Glass,558583.9754,,,
Urinalysis Supplies,1213318.31,,,
Specimen Kits,14002686.29,,,
Histology Reagents and Stains,8124820.038,,,
General Nursing - Pack,73737.9936,,,
Sharps Disposal Containers,27686148.39,,,
Incontinence,83591142.81,,,
Lab Temperature Monitoring,1259973.169,,,
QED,56441.52239,,,
Specimen Mailers and Shippers,223846.9555,,,
Pain & Local Anesthesia - Tray,1745235.744,,,
Surgical Gloves,156998886.9,,,
Traditional Wound Care,22398386.56,,,
DME O.R. & Exam Room,878354.9402,,,
CPAP Management,1953.8,,,
Anesthesia Circuit & Component,267070.0314,,,
Nutritional Delivery-GI/Access,33281150.09,,,
Net Tube Gauze,7117.713618,,,
Exam Gloves,86464362.37,,,
Admission & Amenities - Kit,72064.04,,,
OR Accessories,71996627.28,,,
Presource - PBDS,623262.6194,,,
Microtome Blades,294159.8496,,,
